id,facility_level,facility_id,region_type,collection_type,has_component_separation,has_nat_testing,has_blood_bank_fridge,has_platelet_agitator,blood_bank_staff_count,product_name,product_category,storage_temp_c,shelf_life_days,unit_cost_usd,blood_group,year,month,units_collected_month,units_requested_month,units_crossmatched,units_transfused,tti_screened_pct,tti_positive_pct,units_discarded_tti,units_expired,available_on_survey_day,shortage_in_last_month,shortage_days_last_month,shortage_cause,crossmatch_turnaround_hours,transfusion_reactions_month,maternal_deaths_no_blood,surgical_cancellations_no_blood,cold_chain_maintained,report_submitted,report_month,supply_demand_gap,total_wastage,wastage_rate,expiry_rate,tti_discard_rate,demand_fulfillment_rate,crossmatch_conversion_rate,collection_utilization_rate,inventory_demand_ratio,shortage_severity,wastage_risk,inventory_status
332,national_blood_centre,BB_0099,urban,VNRD_centralised,1,1,1,1,7,packed_RBC,red_cells,35,42,55.00,A_pos,2022,3,200,276,200,148,0.8600,1.60,3,34,1,0,0,not_applicable,0.50,0,0,0,1,1,2022-03-01,-76,37,18.50,17.00,1.50,53.62,74.00,74.00,0.00362,No Shortage,Moderate,Adequate
667,national_blood_centre,BB_0124,rural,VNRD_centralised,1,1,1,1,5,whole_blood,red_cells,35,42,40.00,O_pos,2024,8,200,261,200,178,0.9200,5.00,10,22,0,0,0,not_applicable,0.90,1,0,0,1,0,2024-08-01,-61,32,16.00,11.00,5.00,68.20,89.00,89.00,0.00000,No Shortage,Moderate,Low Stock
847,national_blood_centre,BB_0059,urban,VNRD_centralised,1,1,1,1,7,whole_blood,red_cells,35,42,40.00,O_pos,2023,2,213,244,213,170,0.9500,0.50,1,20,1,1,1,expired_units,0.50,0,0,2,1,1,2023-02-01,-31,21,9.86,9.39,0.47,69.67,79.81,79.81,0.00410,Low,Low,Recovered
3211,national_blood_centre,BB_0007,urban,VNRD_centralised,1,1,1,1,13,whole_blood,red_cells,35,42,40.00,O_pos,2024,8,185,255,185,140,0.9100,0.50,0,13,1,1,10,expired_units,0.50,0,1,1,1,1,2024-08-01,-70,13,7.03,7.03,0.00,54.90,75.68,75.68,0.00392,Critical,Low,Recovered
5282,national_blood_centre,BB_0027,rural,VNRD_centralised,1,1,1,1,6,packed_RBC,red_cells,35,42,55.00,A_pos,2022,4,217,253,193,174,0.7900,0.50,1,15,0,0,0,not_applicable,2.00,0,0,0,1,1,2022-04-01,-36,16,7.37,6.91,0.46,68.77,90.16,80.18,0.00000,No Shortage,Low,Low Stock
7076,national_blood_centre,BB_0132,rural,VNRD_centralised,1,1,1,1,8,packed_RBC,red_cells,35,42,55.00,A_pos,2021,3,185,245,185,144,0.9000,6.70,12,25,0,0,0,not_applicable,0.50,0,0,0,1,1,2021-03-01,-60,37,20.00,13.51,6.49,58.78,77.84,77.84,0.00000,No Shortage,High,Low Stock
1,national_blood_centre,BB_0014,urban,VNRD_centralised,1,1,1,1,12,whole_blood,red_cells,35,42,40.00,O_pos,2023,10,205,243,205,146,1.0000,6.10,12,28,1,0,0,not_applicable,1.30,0,0,0,1,1,2023-10-01,-38,40,19.51,13.66,5.85,60.08,71.22,71.22,0.00412,No Shortage,High,Adequate
2,national_blood_centre,BB_0119,urban,VNRD_centralised,1,1,1,1,11,packed_RBC,red_cells,35,42,55.00,O_pos,2022,3,207,264,207,186,0.8600,7.90,16,7,0,0,0,not_applicable,1.60,0,0,0,1,1,2022-03-01,-57,23,11.11,3.38,7.73,70.45,89.86,89.86,0.00000,No Shortage,Low,Low Stock
3,national_blood_centre,BB_0052,urban,VNRD_centralised,1,1,1,1,6,fresh_frozen_plasma,plasma,-25,365,45.00,A_pos,2024,6,207,266,207,145,0.9500,6.40,13,29,1,0,0,not_applicable,0.50,1,0,0,1,1,2024-06-01,-59,42,20.29,14.01,6.28,54.51,70.05,70.05,0.00376,No Shortage,High,Adequate
18,national_blood_centre,BB_0101,urban,VNRD_centralised,1,1,1,1,9,group_O_neg_emergency,red_cells,35,42,65.00,O_pos,2024,3,197,231,197,116,1.0000,3.40,6,34,1,1,2,transport_delay,0.80,1,1,0,1,1,2024-03-01,-34,40,20.30,17.26,3.05,50.22,58.88,58.88,0.00433,Low,High,Recovered
19,national_blood_centre,BB_0139,urban,VNRD_centralised,1,1,1,1,12,whole_blood,red_cells,35,42,40.00,O_pos,2022,11,186,279,186,138,0.9800,2.30,4,24,0,0,0,not_applicable,1.50,2,0,0,0,1,2022-11-01,-93,28,15.05,12.90,2.15,49.46,74.19,74.19,0.00000,No Shortage,Moderate,Low Stock
20,national_blood_centre,BB_0069,urban,VNRD_centralised,1,1,1,1,11,packed_RBC,red_cells,35,42,55.00,B_pos,2023,11,213,252,213,169,0.7800,6.60,14,14,1,0,0,not_applicable,1.60,2,0,0,1,1,2023-11-01,-39,28,13.15,6.57,6.57,67.06,79.34,79.34,0.00397,No Shortage,Low,Adequate
21,national_blood_centre,BB_0016,rural,VNRD_centralised,1,1,1,1,3,fresh_frozen_plasma,plasma,-25,365,45.00,O_pos,2024,8,207,269,207,115,0.9200,4.10,8,22,1,1,1,reagent_stockout_crossmatch,1.50,1,0,0,1,0,2024-08-01,-62,30,14.49,10.63,3.86,42.75,55.56,55.56,0.00372,Low,Moderate,Recovered
22,national_blood_centre,BB_0128,peri_urban,VNRD_centralised,1,1,1,1,6,platelet_concentrate,platelets,22,5,60.00,O_pos,2023,9,205,246,205,146,0.9400,0.50,1,8,0,0,0,not_applicable,1.20,0,0,0,1,1,2023-09-01,-41,9,4.39,3.90,0.49,59.35,71.22,71.22,0.00000,No Shortage,Low,Low Stock
901,national_blood_centre,BB_0104,rural,VNRD_centralised,1,1,1,1,7,whole_blood,red_cells,35,42,40.00,B_pos,2021,8,202,235,189,123,1.0000,1.50,3,16,0,0,0,not_applicable,0.50,0,0,0,1,0,2021-08-01,-33,19,9.41,7.92,1.49,52.34,65.08,60.89,0.00000,No Shortage,Low,Low Stock
1648,national_blood_centre,BB_0117,rural,VNRD_centralised,1,1,1,1,4,platelet_concentrate,platelets,22,5,60.00,O_pos,2022,4,180,249,180,122,1.0000,1.00,1,9,0,0,0,not_applicable,0.50,0,0,0,1,1,2022-04-01,-69,10,5.56,5.00,0.56,49.00,67.78,67.78,0.00000,No Shortage,Low,Low Stock
2281,national_blood_centre,BB_0048,urban,VNRD_centralised,1,1,1,1,6,whole_blood,red_cells,35,42,40.00,O_pos,2024,11,183,251,183,168,0.8600,0.50,0,8,0,1,5,power_outage_storage,1.00,0,0,1,1,1,2024-11-01,-68,8,4.37,4.37,0.00,66.93,91.80,91.80,0.00000,Moderate,Low,Critical
