record_date,facility_id,region_type,blood_group,product_name,units_requested,current_inventory,forecast_demand,recommended_stock,inventory_gap,predicted_shortage_probability,shortage_risk_level,wastage_rate,expiry_risk,inventory_status,recommended_action
2023-02-01,BB_0077,urban,A_pos,group_O_neg_emergency,286,171.0,286.0,313.9,142.9,0.25,Moderate,7.02,Low,Adequate,Reorder Immediately
2023-06-01,BB_0118,urban,B_pos,cryoprecipitate,293,179.0,293.0,318.0,139.0,0.29,Critical,20.11,Moderate,Adequate,Reorder Immediately
2024-11-01,BB_0012,peri_urban,A_pos,fresh_frozen_plasma,291,178.0,291.0,316.0,138.0,0.23,Moderate,22.47,Moderate,Adequate,Reorder Immediately
2023-05-01,BB_0138,peri_urban,O_neg,packed_RBC,267,160.0,267.0,294.5,134.5,0.28,High,11.25,Low,Recovered,Reorder Immediately
2024-11-01,BB_0063,peri_urban,B_pos,whole_blood,277,169.0,277.0,302.8,133.8,0.29,High,21.3,High,Adequate,Reorder Immediately
2024-04-01,BB_0001,urban,O_neg,platelet_concentrate,283,179.0,283.0,310.9,131.9,0.31,Critical,20.67,High,Adequate,Reorder Immediately
2023-05-01,BB_0146,urban,A_pos,cryoprecipitate,283,180.33,284.33,310.7,130.4,0.18,Low,15.87,Moderate,Low Stock,Reorder Immediately
2024-10-01,BB_0041,urban,B_neg,packed_RBC,284,183.0,284.0,312.9,129.9,0.2,Low,14.75,Moderate,Adequate,Reorder Immediately
2023-12-01,BB_0014,urban,A_pos,packed_RBC,286,183.0,286.0,312.4,129.4,0.27,High,24.04,High,Low Stock,Reorder Immediately
2023-01-01,BB_0133,peri_urban,B_pos,whole_blood,280,177.0,280.0,305.8,128.8,0.22,Low,23.73,High,Low Stock,Reorder Immediately
2023-01-01,BB_0051,rural,A_pos,cryoprecipitate,283,181.0,283.0,309.4,128.4,0.31,Critical,17.13,Moderate,Adequate,Reorder Immediately
2023-08-01,BB_0013,peri_urban,A_neg,platelet_concentrate,288,185.0,288.0,313.2,128.2,0.29,Critical,10.81,Low,Adequate,Reorder Immediately
2024-11-01,BB_0097,urban,B_pos,cryoprecipitate,291,188.0,291.0,316.0,128.0,0.27,High,20.21,Moderate,Critical,Reorder Immediately
2023-12-01,BB_0088,peri_urban,B_neg,group_O_neg_emergency,280,180.0,280.0,307.1,127.1,0.32,Critical,25.0,High,Adequate,Reorder Immediately
2022-01-01,BB_0055,urban,O_neg,whole_blood,285,184.0,285.0,310.0,126.0,0.24,Moderate,20.11,High,Adequate,Reorder Immediately
2022-07-01,BB_0005,rural,AB_neg,fresh_frozen_plasma,286,190.0,286.0,315.7,125.7,0.27,High,22.63,Moderate,Recovered,Reorder Immediately
2021-06-01,BB_0120,peri_urban,B_neg,whole_blood,266,164.0,266.0,289.7,125.7,0.26,High,14.02,Moderate,Low Stock,Reorder Immediately
2024-01-01,BB_0141,urban,AB_pos,platelet_concentrate,272,170.0,272.0,295.6,125.6,0.27,High,14.12,Moderate,Recovered,Reorder Immediately
2023-03-01,BB_0122,rural,B_neg,group_O_neg_emergency,282,184.0,282.0,309.1,125.1,0.26,High,12.5,Low,Critical,Reorder Immediately
2024-01-01,BB_0009,rural,AB_neg,whole_blood,288,192.0,288.0,317.1,125.1,0.27,High,14.06,Moderate,Adequate,Reorder Immediately
2023-12-01,BB_0014,rural,B_pos,fresh_frozen_plasma,283,184.0,283.0,309.0,125.0,0.27,High,17.93,Moderate,Low Stock,Reorder Immediately
2022-05-01,BB_0035,urban,O_neg,platelet_concentrate,296,199.0,296.0,323.9,124.9,0.24,Moderate,14.07,Moderate,Recovered,Reorder Immediately
2023-07-01,BB_0096,urban,AB_pos,group_O_neg_emergency,293,195.0,293.0,319.4,124.4,0.23,Moderate,18.46,Moderate,Critical,Reorder Immediately
2024-07-01,BB_0107,rural,A_pos,cryoprecipitate,263,165.0,263.0,289.4,124.4,0.23,Moderate,17.58,Moderate,Low Stock,Reorder Immediately
2022-04-01,BB_0130,urban,A_neg,group_O_neg_emergency,269,170.0,269.0,294.2,124.2,0.27,High,18.24,Moderate,Adequate,Reorder Immediately
2022-10-01,BB_0008,peri_urban,AB_pos,platelet_concentrate,280,180.0,280.0,303.6,123.6,0.28,High,16.11,Moderate,Adequate,Reorder Immediately
2022-01-01,BB_0119,peri_urban,B_pos,packed_RBC,276,178.0,276.0,301.5,123.5,0.22,Low,19.66,High,Adequate,Reorder Immediately
2024-11-01,BB_0043,urban,B_pos,group_O_neg_emergency,276,182.0,280.0,305.3,123.3,0.25,Moderate,17.81,Moderate,Recovered,Reorder Immediately
2023-08-01,BB_0041,urban,B_pos,fresh_frozen_plasma,281,196.0,293.0,319.0,123.0,0.2,Low,11.6,Low,Adequate,Reorder Immediately
2024-05-01,BB_0136,urban,O_pos,group_O_neg_emergency,279,182.8,254.0,304.1,121.3,0.33,Critical,17.08,Moderate,Recovered,Reorder Immediately
2024-01-01,BB_0104,peri_urban,A_neg,platelet_concentrate,291,195.0,291.0,316.2,121.2,0.22,Moderate,20.51,High,Low Stock,Reorder Immediately
2022-01-01,BB_0058,rural,AB_pos,packed_RBC,283,191.0,283.0,311.7,120.7,0.21,Low,28.27,High,Adequate,Reorder Immediately
2023-11-01,BB_0029,urban,B_pos,packed_RBC,250,155.0,250.0,275.5,120.5,0.16,Low,21.29,High,Recovered,Reorder Immediately
2022-01-01,BB_0058,peri_urban,O_neg,fresh_frozen_plasma,294,198.0,294.0,318.3,120.3,0.21,Low,18.69,Moderate,Recovered,Reorder Immediately
2021-04-01,BB_0052,urban,B_pos,cryoprecipitate,284,189.0,284.0,309.0,120.0,0.19,Low,21.69,Moderate,Recovered,Reorder Immediately
2021-05-01,BB_0008,urban,A_neg,whole_blood,274,182.0,274.0,301.8,119.8,0.28,High,20.88,High,Low Stock,Reorder Immediately
2024-03-01,BB_0037,urban,A_neg,cryoprecipitate,276,180.0,276.0,299.5,119.5,0.21,Low,17.78,Moderate,Adequate,Reorder Immediately
