id,facility_level,facility_id,region_type,collection_type,has_component_separation,has_NAT_testing,has_blood_bank_fridge,has_platelet_agitator,blood_bank_staff_count,product_name,product_category,storage_temp_C,shelf_life_days,unit_cost_usd,blood_group,year,month,units_collected_month,units_requested_month,units_crossmatched,units_transfused,tti_screened_pct,tti_positive_pct,units_discarded_tti,units_expired,available_on_survey_day,shortage_in_last_month,shortage_days_last_month,shortage_cause,crossmatch_turnaround_hours,transfusion_reactions_month,maternal_deaths_no_blood,surgical_cancellations_no_blood,cold_chain_maintained,report_submitted
1,national_blood_centre,BB_0014,urban,VNRD_centralised,1,1,1,1,12,whole_blood,red_cells,35,42,40.0,O_pos,2023,10,205,243,205,146,1.0,6.1,12,28,1,0,0,not_applicable,1.3,0,0,0,1,1
2,national_blood_centre,BB_0119,urban,VNRD_centralised,1,1,1,1,11,packed_RBC,red_cells,35,42,55.0,O_pos,2022,3,207,264,207,186,0.86,7.9,16,7,0,0,0,not_applicable,1.6,0,0,0,1,1
3,national_blood_centre,BB_0052,urban,VNRD_centralised,1,1,1,1,6,fresh_frozen_plasma,plasma,-25,365,45.0,A_pos,2024,6,207,266,207,145,0.95,6.4,13,29,1,0,0,not_applicable,0.5,1,0,0,1,1
4,national_blood_centre,BB_0051,rural,VNRD_centralised,1,1,1,1,10,platelet_concentrate,platelets,22,5,60.0,O_pos,2023,12,185,263,185,168,0.93,1.9,3,23,1,0,0,not_applicable,1.0,0,0,0,1,1
5,national_blood_centre,BB_0119,rural,VNRD_centralised,1,1,1,1,7,cryoprecipitate,plasma_derived,-25,365,50.0,O_neg,2023,3,228,249,192,132,0.94,8.2,18,29,1,0,0,not_applicable,0.5,1,0,0,1,1
6,national_blood_centre,BB_0140,urban,VNRD_centralised,1,1,1,1,8,group_O_neg_emergency,red_cells,35,42,65.0,O_pos,2023,10,184,247,184,140,0.94,5.9,10,34,0,0,0,not_applicable,0.7,0,0,0,1,1
7,national_blood_centre,BB_0001,urban,VNRD_centralised,1,1,1,1,6,whole_blood,red_cells,35,42,40.0,O_pos,2024,12,183,237,183,136,0.87,1.3,2,13,0,0,0,not_applicable,1.7,0,0,0,1,0
8,national_blood_centre,BB_0013,urban,VNRD_centralised,1,1,1,1,8,packed_RBC,red_cells,35,42,55.0,O_pos,2023,5,227,248,214,114,0.93,1.8,4,21,1,0,0,not_applicable,1.4,1,0,0,1,1
9,national_blood_centre,BB_0149,rural,VNRD_centralised,1,1,1,1,5,fresh_frozen_plasma,plasma,-25,365,45.0,O_pos,2024,9,184,231,170,135,1.0,5.5,10,25,1,0,0,not_applicable,0.5,0,0,0,1,1
10,national_blood_centre,BB_0034,peri_urban,VNRD_centralised,1,1,1,1,6,platelet_concentrate,platelets,22,5,60.0,B_pos,2021,3,212,264,212,190,0.69,4.3,9,27,1,1,1,demand_surge_trauma,0.5,0,0,3,1,1
