date,year,month,month_name,quarter,year_quarter
2021-01-01,2021,1,Jan,1,Q1 2021
2021-02-01,2021,2,Feb,1,Q1 2021
2021-03-01,2021,3,Mar,1,Q1 2021
2021-04-01,2021,4,Apr,2,Q2 2021
2021-05-01,2021,5,May,2,Q2 2021
2021-06-01,2021,6,Jun,2,Q2 2021
2021-07-01,2021,7,Jul,3,Q3 2021
2021-08-01,2021,8,Aug,3,Q3 2021
2021-09-01,2021,9,Sep,3,Q3 2021
2021-10-01,2021,10,Oct,4,Q4 2021
2021-11-01,2021,11,Nov,4,Q4 2021
2021-12-01,2021,12,Dec,4,Q4 2021
2022-01-01,2022,1,Jan,1,Q1 2022
2022-02-01,2022,2,Feb,1,Q1 2022
2022-03-01,2022,3,Mar,1,Q1 2022
2022-04-01,2022,4,Apr,2,Q2 2022
2022-05-01,2022,5,May,2,Q2 2022
2022-06-01,2022,6,Jun,2,Q2 2022
2022-07-01,2022,7,Jul,3,Q3 2022
2022-08-01,2022,8,Aug,3,Q3 2022
2022-09-01,2022,9,Sep,3,Q3 2022
2022-10-01,2022,10,Oct,4,Q4 2022
2022-11-01,2022,11,Nov,4,Q4 2022
2022-12-01,2022,12,Dec,4,Q4 2022
2023-01-01,2023,1,Jan,1,Q1 2023
2023-02-01,2023,2,Feb,1,Q1 2023
2023-03-01,2023,3,Mar,1,Q1 2023
2023-04-01,2023,4,Apr,2,Q2 2023
2023-05-01,2023,5,May,2,Q2 2023
2023-06-01,2023,6,Jun,2,Q2 2023
2023-07-01,2023,7,Jul,3,Q3 2023
2023-08-01,2023,8,Aug,3,Q3 2023
2023-09-01,2023,9,Sep,3,Q3 2023
2023-10-01,2023,10,Oct,4,Q4 2023
2023-11-01,2023,11,Nov,4,Q4 2023
2023-12-01,2023,12,Dec,4,Q4 2023
2024-01-01,2024,1,Jan,1,Q1 2024
2024-02-01,2024,2,Feb,1,Q1 2024
2024-03-01,2024,3,Mar,1,Q1 2024
2024-04-01,2024,4,Apr,2,Q2 2024
2024-05-01,2024,5,May,2,Q2 2024
2024-06-01,2024,6,Jun,2,Q2 2024
2024-07-01,2024,7,Jul,3,Q3 2024
2024-08-01,2024,8,Aug,3,Q3 2024
2024-09-01,2024,9,Sep,3,Q3 2024
2024-10-01,2024,10,Oct,4,Q4 2024
2024-11-01,2024,11,Nov,4,Q4 2024
2024-12-01,2024,12,Dec,4,Q4 2024
